Reaction_ID,Mean_IBD,Mean_Control,Fold_Change,P_value,FDR_corrected_q
HXANt2r,0.0008740041184672265,4.179011147040926,0.00020914137046178767,0.00026001758179729055,0.00042394170945210416
AICART,230.00708599608254,345.7975121175132,0.6651496264030919,0.0003580980975264911,0.0005714331343507837
IMPC,-230.00708599724544,-345.79751212409377,0.6651496263937969,0.0003580980975264911,0.0005714331343507837
URAt2,9.598696434494698,6.483789045136515,1.4804146722963902,0.00042310212264032635,0.0006400523059747123
GLUTRR,0.13019270093912685,0.19880829266579395,0.6548655450604713,0.00042310212264032635,0.0006400523059747123
G1SAT,0.13019270093912685,0.19880829266579395,0.6548655450604713,0.00042310212264032635,0.0006400523059747123
GLUTRS,0.13019270093912685,0.19880829266579395,0.6548655450604713,0.00042310212264032635,0.0006400523059747123
HMBS,0.01630579821253678,0.02485103658322385,0.6561415721203481,0.0004309685526896396,0.0006400523059747123
PPBNGS,0.0652231928501475,0.09940414633289674,0.656141572120343,0.0004309685526896396,0.0006400523059747123
UPP3S,0.01630579821253678,0.024851036583223803,0.6561415721203493,0.0004309685526896396,0.0006400523059747123
VALt2rpp,-994.6203356434077,-1589.1134867125,0.6258963528785109,0.0004553948383606663,0.0006696982917068622
CA2abc,0.005244179466116965,0.009033526769308995,0.5805240411678229,0.0004989959438728581,0.0007254704658560817
SPMS,9.406372537259802,2.963088052252876,3.1745167107362904,0.0005175022656440049,0.0007254704658560817
VAL_Ltex,-883.9262154973999,-1464.6001493790623,0.6035273285149895,0.0005175022656440049,0.0007254704658560817
MTAN,7.347372058819936,0.016508219855920627,445.0735526268643,0.0005175022656440049,0.0007254704658560817
DM_5MTR,7.347372058819936,0.016508219855920627,445.0735526268643,0.0005175022656440049,0.0007254704658560817
LYSt3r,37.21129051966648,21.736589811363885,1.711919433664448,0.0006542751697481406,0.0009087155135390842
PYK,12924.204861811631,15348.840320441206,0.8420313581997133,0.0006660804580696202,0.0009166244835820461
