Sample_ID,Stratification_Group,Diet_Condition,BCAA_Multiplier,Growth_Rate,3MOPLPAMO_Flux
PRISM.7947,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.9216837649408587,0.0
PRISM.7955,Track A (Dorea Present),Baseline_1x,1.0,0.5912811797257235,0.020997858395096596
PRISM.7955,Track A (Dorea Present),Moderate_2x,2.0,0.5919598143901381,0.020920344516468837
PRISM.7955,Track A (Dorea Present),High_Overdrive_10x,10.0,0.5911367344088599,0.02096768819448524
PRISM.7989,Track B (Dorea Absent),Baseline_1x,1.0,0.4535332271960949,0.0
PRISM.7989,Track B (Dorea Absent),Moderate_2x,2.0,0.4533443380888784,0.0
PRISM.7989,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.4535795709789999,0.0
PRISM.8101,Track A (Dorea Present),Baseline_1x,1.0,0.6840732003690578,0.005087215134652209
PRISM.8101,Track A (Dorea Present),Moderate_2x,2.0,0.6837031177116965,0.0030802556149462906
PRISM.8101,Track A (Dorea Present),High_Overdrive_10x,10.0,0.6838331692731326,0.022944434690320172
PRISM.8226,Track B (Dorea Absent),Baseline_1x,1.0,0.717957757013582,0.0
PRISM.8226,Track B (Dorea Absent),Moderate_2x,2.0,0.7175703206266356,0.0
PRISM.8226,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.7176491209434922,0.0
PRISM.8283,Track A (Dorea Present),Baseline_1x,1.0,0.9171946612706616,0.008367711586187172
PRISM.8283,Track A (Dorea Present),Moderate_2x,2.0,0.9165191266166681,0.009570354759359264
PRISM.8283,Track A (Dorea Present),High_Overdrive_10x,10.0,0.9172727413100321,0.008100465248131615
PRISM.8332,Track A (Dorea Present),Baseline_1x,1.0,0.6397117341918356,0.012121446898729364
PRISM.8332,Track A (Dorea Present),Moderate_2x,2.0,0.6395406418759978,0.026032967102457505
PRISM.8332,Track A (Dorea Present),High_Overdrive_10x,10.0,0.6378962815683404,0.030428265588418935
PRISM.8361,Track B (Dorea Absent),Baseline_1x,1.0,0.5984094470846315,0.0
PRISM.8361,Track B (Dorea Absent),Moderate_2x,2.0,0.5948657966276064,0.0
PRISM.8361,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.603611470111992,0.0
PRISM.8406,Track B (Dorea Absent),Baseline_1x,1.0,0.5026736015525662,0.0
PRISM.8406,Track B (Dorea Absent),Moderate_2x,2.0,0.5039995371307441,0.0
PRISM.8406,Track B (Dorea Absent),High_Overdrive_10x,10.0,0.5050089458056853,0.0
PRISM.8441,Track A (Dorea Present),Baseline_1x,1.0,0.9216651840971205,0.031454283889105775
PRISM.8441,Track A (Dorea Present),Moderate_2x,2.0,0.9216839226665321,0.0012435450681651723
PRISM.8441,Track A (Dorea Present),High_Overdrive_10x,10.0,0.9216740722112229,0.028694710828963237
PRISM.8444,Track A (Dorea Present),Baseline_1x,1.0,0.9216487576984744,0.023106328895657197
PRISM.8444,Track A (Dorea Present),Moderate_2x,2.0,0.9216835737036655,0.03215173957761746
PRISM.8444,Track A (Dorea Present),High_Overdrive_10x,10.0,0.9216765660825748,0.03600127318897784
PRISM.8462,Track A (Dorea Present),Baseline_1x,1.0,0.5736941744283043,0.007852154680707806
PRISM.8462,Track A (Dorea Present),Moderate_2x,2.0,0.5735401608756373,0.002776363085678001
